ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
10mgpoe301,0,1,1,0,0,0
11pgpoe301,0,1,1,1,0,0
12cgpoe301,0,1,1,1,1,1
13agpoe301,0,1,1,1,0,0
14zhpoe301,0,1,1,1,1,1
15whpoe301,0,1,1,1,1,1
16klpoe301,0,1,0,0,0,1
17ampoe301,0,1,1,1,1,1
18bmpoe301,0,1,1,1,1,0
19mmpoe301,0,1,1,1,1,0
1mapoe301,0,1,1,1,1,0
20smpoe301,0,1,1,1,0,0
21mppoe301,0,1,1,1,1,0
22jppoe301,0,1,1,1,1,1
23erpoe301,0,1,1,0,0,1
24lrpoe301,0,1,1,1,1,1
25aspoe301,0,1,1,0,0,0
26ispoe301,0,1,1,0,0,0
27ewpoe301,0,1,1,0,0,0
28twpoe301,0,1,1,1,1,0
2aapoe301,0,1,1,1,1,0
3kapoe301,0,1,1,1,1,1
4pbpoe301,0,1,1,1,1,1
5ccpoe301,0,1,1,1,1,1
6aepoe301,0,1,1,1,0,0
7cepoe301,0,1,1,1,1,0
8vfpoe301,0,1,1,1,1,1
9kgpoe301,0,1,1,1,1,0
