ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
RC7A10,0,0,0,0,0
RC7A11,0,1,0,0,0
RC7A12,0,0,0,0,0
RC7A13,0,1,1,1,1
RC7A14,0,0,0,0,0
RC7A15,0,0,0,0,0
RC7A16,0,0,0,0,0
RC7A17,0,0,0,0,0
RC7A18,0,1,1,1,0
RC7A19,0,0,0,0,0
RC7A2,0,0,0,0,0
RC7A21,0,0,0,0,0
RC7A22,0,0,0,0,0
RC7A23,0,0,0,0,0
RC7A24,0,1,0,0,0
RC7A25,0,1,0,0,0
RC7A26,0,0,0,0,0
RC7A27,0,0,0,0,0
RC7A28,0,0,0,0,0
RC7A3,0,0,0,0,0
RC7A30,0,1,1,1,1
RC7A31,0,1,1,0,0
RC7A32,0,0,0,0,0
RC7A4,0,0,0,0,0
RC7A5,0,0,0,0,0
RC7A6,0,0,0,0,0
RC7A7,0,0,0,0,0
RC7A8,0,0,0,0,0
RC7A9,0,1,1,1,1
