ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
113H1,0,1,1,1,1
113H10,0,1,1,0,0
113H11,0,0,0,0,0
113H12,0,1,1,1,1
113H13,0,1,1,1,1
113H14,0,0,0,0,0
113H15,0,1,1,1,1
113H16,0,1,1,0,1
113H17,0,1,1,1,1
113H18,0,1,1,1,1
113H19,0,1,1,0,1
113H2,0,1,1,1,1
113H21,0,1,1,0,1
113H22,0,1,0,0,0
113H23,0,1,1,0,0
113H24,0,0,0,0,0
113H25,0,1,1,1,0
113H26,0,0,0,0,0
113H27,0,1,1,1,1
113H28,0,1,1,1,0
113H29,0,1,1,0,0
113H3,0,1,1,0,1
113H4,0,1,1,1,1
113H5,0,1,1,1,1
113H6,0,1,1,0,1
113H7,0,1,1,0,0
113H9,0,1,1,0,0
msboyd114,0,0,0,0,0
