ID,Error grading project,Project has a backdrop,Five sprites created,One sprite sends a broadcast,Message received by sprite 1 and sprite does something,Message received by sprite 2 and sprite does something,Message received by sprite 3 and sprite does something,Message received by sprite 4 and sprite does something
114H1,0,1,1,1,1,1,1,0
114H10,0,1,1,1,1,1,1,1
114H11,0,1,1,1,1,1,0,0
114H12,0,1,1,1,1,1,1,1
114H13,0,1,1,0,0,0,0,0
114H14,0,1,1,1,1,1,1,1
114H15,0,1,1,1,1,1,1,1
114H16,0,0,1,1,1,0,0,0
114H17,0,1,1,1,1,1,1,1
114H18,0,1,1,1,1,1,1,0
114H2,0,1,1,1,1,1,1,1
114H20,0,1,1,1,1,1,1,1
114H21,0,1,1,1,1,1,1,1
114H22,0,1,1,1,1,1,1,1
114H23,0,1,1,1,1,1,1,1
114H24,0,1,1,1,1,1,1,1
114H25,0,1,1,1,1,1,1,1
114H26,0,1,1,1,1,1,1,1
114H27,0,1,1,1,1,1,1,1
114H28,0,1,0,1,1,1,1,0
114H29,0,1,1,1,1,1,1,1
114H3,0,1,1,1,1,1,1,1
114H4,0,1,1,1,1,1,1,1
114H5,0,0,0,1,1,0,0,0
114H6,0,1,1,1,1,1,1,1
114H7,0,1,1,1,1,0,0,0
114H8,0,1,1,1,1,1,1,1
114H9,0,1,1,1,1,1,1,1
