ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
Bell01B,0,1,1,1,0
Carey03B,0,1,1,1,1
Donley05B,0,1,1,1,1
Fleming06B,0,0,0,0,0
Foreman07B,0,0,0,0,0
Hawkins08B,0,0,0,0,0
Hutchinson11B,0,0,0,0,0
JStewart22B,0,1,1,0,1
MJohnson13B,0,0,0,0,0
Ocasio16B,0,0,0,0,0
Phillips17B,0,0,0,0,0
Pryor18B,0,1,0,0,0
Ramos19B,0,0,0,0,0
Robertson20B,0,1,0,0,0
ScratchEncorePD2018,0,1,1,1,1
TJones15B,0,0,0,0,0
Viverette24B,0,0,0,0,0
Williams26B,0,0,0,0,0
vivertte24b,0,1,0,0,0
