ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
10JCL216,0,1,1,1,0,1,0
11JCL216,0,1,1,0,0,0,0
12JCL216,0,1,1,1,1,1,1
13JCL216,0,1,1,1,1,1,1
15JCL216,0,1,1,1,1,1,1
16JCL216,0,1,0,0,0,0,0
17JCL216,0,1,1,0,0,0,0
18JCL216,0,1,1,1,1,1,1
1JCL216,0,1,1,1,0,1,0
20JCL216,0,1,1,1,0,1,0
21JCL216,0,1,1,1,1,1,1
22JCL216,0,1,1,1,1,1,1
23JCL216,0,1,1,1,1,1,0
24JCL216,0,1,1,1,1,1,1
25JCL216,0,1,1,1,0,1,0
26JCL216,0,1,1,1,1,1,1
27JCL216,0,1,1,1,1,1,1
28JCL216,0,1,1,1,0,1,1
29JCL216,0,1,1,1,1,1,0
2JCL216,0,1,1,1,0,1,1
30JCL216,0,1,1,1,1,1,1
31JCL216,0,1,1,1,1,1,1
32JCL216,0,1,1,1,0,1,0
4JCL216,0,1,1,1,1,0,0
5JCL216,0,1,1,1,0,1,0
6JCL216,0,1,1,1,0,1,0
9JCL216,0,1,1,1,1,1,0
