ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
10JCL222,0,1,1,0,0,0,0
12JCL222,0,1,1,1,1,1,1
13JCL222,0,0,0,0,0,0,0
19JCL222,0,1,1,1,0,1,0
22JCL222,0,0,1,1,0,1,1
24JCL222,0,1,1,0,0,0,0
2JCL222,0,1,1,1,1,0,1
3JCL222,0,1,1,1,1,1,1
5JCL222,0,1,0,1,1,1,0
6JCL222,0,1,0,0,0,0,0
7JCL222,0,1,1,0,0,0,0
8JCL222,0,1,0,1,1,1,1
