ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
11JCL06,0,1,1,1,0,1,0
12JCL06,0,1,1,1,0,1,0
13JCL06,0,1,1,1,1,1,0
14JCL06,0,1,1,1,0,1,1
15JCL06,0,1,1,1,0,1,0
16JCL06,0,1,1,1,1,1,0
17JCL06,0,1,1,1,0,1,1
18JCL06,0,1,1,1,0,1,0
19JCL06,0,1,1,1,1,1,0
1JCL06,0,1,1,1,0,1,0
20JCL06,0,1,1,1,1,1,0
21JCL06,0,1,1,1,0,1,0
22JCL06,0,1,1,1,1,1,0
23JCL06,0,1,1,1,0,1,0
24JCL06,0,1,1,1,1,1,0
25JCL06,0,1,1,1,0,1,0
26JCL06,0,1,1,1,1,1,0
27JCL06,0,1,1,1,1,1,1
28JCL06,0,1,1,1,0,0,0
29JCL06,0,1,1,1,1,1,0
2JCL06,0,1,1,1,1,1,0
30JCL06,0,1,1,1,1,1,0
31JCL06,0,1,1,1,1,1,1
32JCL06,0,1,1,1,1,1,1
3JCL06,0,1,0,1,0,0,1
4JCL06,0,1,1,1,1,1,0
5JCL06,0,1,1,1,0,1,1
6JCL06,0,1,1,1,1,1,1
7JCL06,0,1,1,1,0,1,0
8JCL06,0,1,1,1,0,1,0
