ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
10JCL210,0,1,1,1,1,1,1
12JCL210,0,1,1,1,0,1,1
13JCL210,0,1,1,1,1,0,1
14JCL210,0,1,1,1,0,1,1
16JCL210,0,1,0,1,1,1,0
17JCL210,0,1,1,1,1,1,1
18JCL210,0,1,1,1,0,1,0
1JCL210,0,1,1,1,1,1,1
20JCL210,0,1,1,1,1,1,0
21JCL210,0,1,1,1,0,1,0
23JCL210,0,1,1,1,1,1,1
25JCL210,0,1,1,1,1,0,1
26JCL210,0,1,1,1,0,1,0
27JCL210,0,1,1,1,1,1,1
28JCL210,0,1,1,1,1,1,1
29JCL210,0,1,1,1,0,1,0
2JCL210,0,1,1,1,1,1,0
30JCL210,0,1,1,0,0,0,0
31JCL210,0,1,1,1,1,1,1
33JCL210,0,1,1,1,0,1,1
3JCL210,0,1,1,1,1,1,1
4JCL210,0,1,1,1,0,1,0
6JCL210,0,1,1,1,1,1,1
7JCL210,0,1,1,1,0,1,0
9JCL210,0,1,1,1,1,1,0
