ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
114H1,0,1,1,1,1,1,0
114H10,0,1,1,1,1,1,0
114H11,0,1,1,1,1,1,0
114H12,0,1,1,1,1,1,0
114H14,0,1,1,1,1,1,1
114H16,0,1,1,1,0,1,0
114H17,0,1,1,1,1,0,0
114H18,0,0,1,1,1,0,1
114H19,0,1,1,1,1,1,1
114H2,0,1,1,1,1,1,0
114H20,0,1,1,1,1,1,0
114H21,0,1,1,1,0,1,0
114H22,0,1,1,1,0,1,1
114H23,0,1,1,1,1,1,0
114H24,0,1,0,1,1,1,0
114H25,0,1,1,1,1,1,0
114H26,0,1,1,1,1,1,1
114H27,0,1,1,1,1,1,1
114H28,0,1,1,1,0,1,0
114H29,0,1,1,1,0,1,1
114H3,0,1,1,1,1,1,1
114H4,0,1,1,1,1,1,0
114H5,0,0,1,1,1,1,0
114H6,0,1,1,1,0,1,1
114H7,0,1,0,1,0,1,1
114H8,0,1,1,1,1,1,1
114H9,0,1,1,1,1,1,0
msboyd114,0,1,1,1,1,1,0
