ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
RC7A10,0,0,0,0,0,0,0,0,0,0
RC7A12,0,0,0,0,0,0,0,0,0,0
RC7A14,0,0,0,0,0,0,0,0,0,0
RC7A15,0,1,1,1,0,0,0,0,0,0
RC7A18,0,1,1,1,1,0,0,0,0,0
RC7A19,0,0,0,0,0,0,0,0,0,0
RC7A2,0,0,0,0,0,0,0,0,0,0
RC7A20,0,1,1,1,0,1,1,1,1,1
RC7A21,0,0,0,0,1,0,0,0,0,0
RC7A24,0,1,1,1,0,0,0,0,0,0
RC7A26,0,0,0,0,0,0,0,0,0,0
RC7A27,0,1,1,1,0,0,0,0,0,0
RC7A28,0,0,0,0,0,0,0,0,0,0
RC7A3,0,0,0,0,0,0,0,0,0,0
RC7A31,0,1,1,1,0,0,0,0,0,0
RC7A32,0,0,0,0,0,0,0,0,0,0
RC7A4,0,1,1,1,0,0,0,0,0,0
RC7A8,0,1,1,1,0,0,0,0,0,0
RC7A9,0,0,0,0,0,0,0,0,0,0
