ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
10mgpoe301,0,1,1,1,0,1,0
11pgpoe301,0,1,1,1,0,1,1
12cgpoe301,0,1,1,1,1,1,0
13agpoe301,0,1,1,1,1,1,1
14zhpoe301,0,1,1,1,0,1,0
15whpoe301,0,1,1,1,1,1,1
17ampoe301,0,1,1,1,1,1,1
18bmpoe301,0,1,1,1,1,1,0
19mmpoe301,0,1,1,0,0,0,0
1mapoe301,0,1,1,1,0,1,0
20smpoe301,0,1,1,1,0,1,1
21mppoe301,0,1,1,0,0,0,0
22jppoe301,0,1,1,1,0,1,0
23erpoe301,0,1,1,1,1,1,1
24lrpoe301,0,1,1,1,1,1,0
25aspoe301,0,1,1,1,1,1,0
26ispoe301,0,1,1,1,1,1,1
27ewpoe301,0,1,1,1,0,1,1
28twpoe301,0,1,1,1,0,1,0
2aapoe301,0,1,1,1,1,1,1
3kapoe301,0,1,1,1,1,1,0
4pbpoe301,0,1,1,1,1,1,1
5ccpoe301,0,1,1,1,1,1,1
6aepoe301,0,1,1,1,0,1,0
7cepoe301,0,1,1,1,0,1,0
8vfpoe301,0,1,1,1,0,1,0
9kgpoe301,0,1,1,1,1,1,1
