ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
11JCL216,0,1,1,1,1
12JCL216,0,1,1,0,1
14JCL216,0,0,0,0,0
15JCL216,0,0,0,0,0
17JCL216,0,0,0,0,0
18JCL216,0,1,0,0,0
19JCL216,0,1,1,1,1
1JCL216,0,0,0,0,0
22JCL216,0,0,0,0,0
26JCL216,0,1,1,1,0
27JCL216,0,1,1,1,1
28JCL216,0,1,1,0,1
29JCL216,0,1,1,1,0
2JCL216,0,1,1,1,1
30JCL216,0,0,0,0,0
31JCL216,0,1,1,0,1
32JCL216,0,1,1,0,1
3JCL216,0,0,0,0,0
5JCL216,0,1,0,0,0
6JCL216,0,1,1,1,1
8JCL216,0,1,1,1,1
