ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
10JCL06,0,0,0,0,0
11JCL06,0,1,1,1,1
12JCL06,0,1,1,0,1
13JCL06,0,1,1,1,1
14JCL06,0,0,0,0,0
15JCL06,0,1,1,0,0
16JCL06,0,1,1,1,1
17JCL06,0,1,0,0,0
18JCL06,0,1,1,1,1
19JCL06,0,1,1,0,0
1JCL06,0,1,0,0,0
20JCL06,0,1,1,1,1
21JCL06,0,1,1,0,1
22JCL06,0,0,0,0,0
24JCL06,0,1,0,0,0
26JCL06,0,1,1,1,1
27JCL06,0,1,0,0,0
28JCL06,0,0,0,0,0
29JCL06,0,1,1,1,1
2JCL06,0,1,0,0,0
30JCL06,0,1,1,0,0
31JCL06,0,1,0,0,0
32JCL06,0,1,1,0,1
3JCL06,0,0,0,0,0
4JCL06,0,1,1,0,0
6JCL06,0,1,1,1,0
7JCL06,0,1,1,1,1
8JCL06,0,1,1,0,1
9JCL06,0,1,1,1,1
