ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
13JCL220,0,1,1,1,1
14JCL220,0,1,1,0,1
16JCL220,0,1,1,1,1
17JCL220,0,1,0,0,0
18JCL220,0,1,1,1,1
19JCL220,0,1,1,1,1
21JCL220,0,1,1,0,0
24JCL220,0,1,1,1,1
25JCL220,0,1,1,1,1
26JCL220,0,1,1,1,1
27JCL220,0,0,0,0,0
2JCL220,0,1,1,1,1
30JCL220,0,1,0,0,0
31JCL220,0,1,1,0,1
32JC220,0,1,1,0,1
33JCL220,0,1,1,0,1
34JCL220,0,1,1,1,1
4JCL220,0,1,1,1,0
5JCL220,0,1,1,0,0
7JCL220,0,1,1,1,1
8JCL220,0,1,1,1,1
9JCL220,0,1,0,0,0
