ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
10JCL06,0,1,1,1,1,1,1,1,1,1
11JCL06,0,1,1,1,1,1,1,1,1,1
12JCL06,0,1,1,0,0,0,0,0,0,1
13JCL06,0,1,1,1,1,1,1,1,1,1
14JCL06,0,1,0,0,0,0,0,0,0,0
15JCL06,0,1,1,0,0,0,0,0,0,1
16JCL06,0,1,1,1,1,1,1,1,1,1
17JCL06,0,1,1,1,0,0,1,0,0,1
18JCL06,0,1,1,0,0,0,0,0,0,0
19JCL06,0,1,1,1,1,1,1,1,1,1
1JCL06,0,1,1,1,1,1,1,1,1,1
20JCL06,0,1,1,1,1,1,1,1,1,0
21JCL06,0,1,1,1,0,0,1,0,0,1
22JCL06,0,1,1,1,1,0,1,1,0,1
23JCL06,0,1,1,1,1,1,1,1,1,0
24JCL06,0,1,1,1,1,1,1,1,1,0
25JCL06,0,1,0,1,0,0,1,0,0,0
26JCL06,0,1,0,1,1,0,1,1,0,1
27JCL06,0,1,1,0,0,0,0,0,0,0
28JCL06,0,1,1,0,0,0,0,0,0,1
29JCL06,0,1,1,1,0,0,1,0,0,0
2JCL06,0,1,1,1,0,0,1,0,0,1
30JCL06,0,1,1,1,0,0,1,1,1,0
31JCL06,0,1,0,1,0,0,1,0,0,0
32JCL06,0,1,1,1,1,0,1,1,0,1
3JCL06,0,1,0,0,0,0,0,0,0,0
4JCL06,0,1,0,1,0,0,1,0,0,1
5JCL06,0,1,1,1,1,0,1,1,0,0
6JCL06,0,1,0,1,0,0,1,0,0,1
7JCL06,0,1,1,1,1,1,1,1,1,0
8JCL06,0,1,1,1,1,1,1,1,1,1
9JCL06,0,1,1,0,0,0,0,0,0,0
