ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
5thLRG1,0,1,1,1,1
5thLRG10,0,1,1,1,1
5thLRG11,0,1,0,0,0
5thLRG12,0,1,1,1,1
5thLRG13,0,1,1,0,0
5thLRG14,0,1,0,0,0
5thLRG15,0,1,0,0,0
5thLRG16,0,1,1,0,1
5thLRG18,0,1,1,1,1
5thLRG19,0,1,1,1,1
5thLRG2,0,1,1,1,1
5thLRG20,0,1,1,1,0
5thLRG21,0,1,1,1,1
5thLRG22,0,1,1,0,0
5thLRG23,0,1,1,1,1
5thLRG24,0,1,1,1,0
5thLRG25,0,1,1,1,1
5thLRG26,0,1,1,1,1
5thLRG27,0,1,1,1,1
5thLRG28,0,1,1,1,1
5thLRG29,0,1,0,0,0
5thLRG3,0,1,0,0,0
5thLRG30,0,1,0,0,0
5thLRG31,0,1,1,1,1
5thLRG4,0,1,0,0,0
5thLRG5,0,1,1,1,1
5thLRG6,0,1,1,1,0
5thLRG7,0,0,0,0,0
5thLRG8,0,1,1,1,1
5thLRG9,0,1,1,1,1
