ID,Error grading project,Project has a backdrop,Five sprites created,One sprite sends a broadcast,Message received by sprite 1 and sprite does something,Message received by sprite 2 and sprite does something,Message received by sprite 3 and sprite does something,Message received by sprite 4 and sprite does something
113H1,0,1,1,1,1,1,1,0
113H10,0,1,1,1,1,1,1,1
113H11,0,1,1,1,1,1,1,1
113H12,0,1,1,1,1,1,1,1
113H13,0,1,1,1,1,1,1,1
113H14,0,1,0,1,1,0,0,0
113H15,0,1,1,1,1,1,1,1
113H16,0,1,1,1,1,1,1,1
113H17,0,1,1,1,1,1,1,1
113H18,0,1,1,1,1,1,1,1
113H19,0,1,1,1,1,1,1,1
113H2,0,1,1,1,1,1,1,1
113H21,0,1,1,1,1,1,1,1
113H22,0,1,1,1,1,1,1,1
113H23,0,1,0,1,1,1,1,0
113H24,0,1,1,1,1,1,1,1
113H25,0,0,1,1,1,1,1,1
113H26,0,1,1,1,1,1,1,1
113H27,0,1,1,1,1,1,1,1
113H28,0,1,0,0,0,0,0,0
113H29,0,1,1,1,1,1,1,1
113H3,0,1,1,1,1,1,1,1
113H4,0,1,1,1,1,1,1,1
113H5,0,1,0,1,1,1,1,1
113H6,0,1,1,1,1,1,1,1
113H7,0,1,1,1,1,1,1,1
113H8,0,1,1,1,1,1,1,1
113H9,0,1,0,1,1,0,0,0
