ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
115H1,0,1,1,1,0,0,0,0,0,0
115H10,0,0,0,0,0,0,0,0,0,0
115H11,0,0,0,0,0,0,0,0,0,0
115H12,0,0,0,0,0,0,0,0,0,0
115H15,0,1,1,1,0,0,0,0,0,0
115H16,0,1,1,1,0,0,0,0,0,0
115H17,0,1,1,1,1,1,1,1,1,1
115H18,0,1,1,1,0,0,0,0,0,0
115H2,0,1,1,1,0,0,0,0,0,0
115H21,0,1,1,1,1,1,1,1,1,1
115H22,0,0,0,0,0,0,0,0,0,0
115H23,0,1,1,1,1,1,1,1,1,1
115H24,0,1,1,1,0,0,0,0,0,0
115H25,0,1,1,1,0,0,0,0,0,0
115H27,0,1,1,1,0,0,0,0,0,0
115H28,0,1,1,1,0,0,0,0,0,0
115H29,0,0,1,1,0,0,1,1,1,0
115H3,0,0,0,0,0,0,0,0,0,0
115H4,0,1,1,1,1,1,1,1,1,1
115H5,0,0,0,0,0,0,0,0,0,0
115H6,0,1,1,1,1,0,0,0,0,0
115H7,0,0,0,0,0,0,0,0,0,0
115H8,0,1,1,1,1,1,1,1,1,1
115H9,0,1,1,1,0,0,0,0,0,0
