ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
RC7B1,0,1,1,1,0,1,1
RC7B10,0,1,1,1,0,1,0
RC7B11,0,1,1,1,0,1,0
RC7B12,0,1,1,1,0,1,0
RC7B13,0,1,1,0,0,0,0
RC7B14,0,1,1,1,0,1,1
RC7B15,0,1,1,1,0,1,0
RC7B16,0,1,1,1,0,1,0
RC7B17,0,1,1,1,0,0,1
RC7B18,0,1,1,1,1,1,0
RC7B19,0,1,1,1,0,1,0
RC7B2,0,1,1,1,0,1,0
RC7B20,0,1,1,1,0,1,0
RC7B21,0,1,1,1,0,1,0
RC7B22,0,1,1,1,0,1,0
RC7B23,0,1,1,0,0,0,0
RC7B24,0,1,1,1,0,0,1
RC7B25,0,1,1,1,1,1,1
RC7B26,0,1,1,1,0,1,1
RC7B27,0,1,1,0,0,0,0
RC7B28,0,1,1,1,0,1,0
RC7B29,0,1,1,1,1,1,1
RC7B3,0,1,1,1,0,1,1
RC7B30,0,1,1,0,0,0,0
RC7B31,0,1,0,0,0,0,0
RC7B4,0,1,0,0,0,0,0
RC7B5,0,1,1,1,1,1,1
RC7B6,0,1,1,1,1,1,0
RC7B7,0,1,1,1,0,0,0
RC7B8,0,1,1,1,0,1,0
RC7B9,0,1,1,1,1,0,1
