ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
115H1,0,0,0,0
115H10,0,0,0,0
115H11,0,1,1,1
115H12,0,0,0,0
115H14,0,0,0,0
115H15,0,0,0,0
115H16,0,1,0,1
115H17,0,0,0,0
115H18,0,0,0,0
115H2,1,,,
115H21,0,1,0,1
115H22,0,0,0,0
115H23,0,0,0,0
115H24,0,0,0,0
115H25,0,0,0,0
115H26,0,0,0,0
115H27,0,0,0,0
115H28,0,0,0,0
115H3,0,0,0,0
115H4,1,,,
115H5,0,1,1,1
115H6,0,1,0,1
115H7,0,1,0,0
115H8,0,0,0,0
115H9,0,1,0,1
