ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
10JCL216,0,1,1,0,0,0,0,0,0,0
11JCL216,0,1,1,0,0,0,0,0,0,0
12JCL216,0,1,1,0,0,0,0,0,0,1
13JCL216,0,1,1,0,0,0,0,0,0,0
15JCL216,0,1,1,1,0,0,1,0,0,0
16JCL216,0,1,1,0,0,0,0,0,0,0
17JCL216,0,1,0,0,0,0,0,0,0,0
18JCL216,0,1,1,1,0,0,1,0,0,1
21JCL216,0,1,1,1,0,0,0,0,0,0
22JCL216,0,1,1,0,0,0,0,0,0,0
23JCL216,0,1,1,1,1,0,1,1,0,1
26JCL216,0,1,1,1,0,0,1,0,0,1
27JCL216,0,1,1,1,1,1,1,1,1,0
28JCL216,0,1,1,1,1,0,1,1,0,1
29JCL216,0,1,1,0,0,0,0,0,0,0
2JCL216,0,1,1,1,1,0,1,1,0,0
32JCL216,0,1,1,1,0,0,1,0,0,0
3JCL216,0,1,0,1,0,0,1,0,0,1
5JCL216,0,1,1,0,0,0,0,0,0,1
7JCL216,0,1,0,0,0,0,0,0,0,0
8JCL216,0,1,1,0,0,0,0,0,0,0
9JCL216,0,1,1,1,1,1,1,1,1,1
